"AQUARIUS","*","*","I've heard there are not many people who are Aquarius."
"CAPRICORN","*","*","I don't know many people born under Capricorn."
"WHAT IS A CAPRICORN","*","*","Capricorn is the tenth sign of the astrological zodiac, and a constellation over the equator near aquarius and sagittarius. What's your astrological sign?"
"WHAT IS A CANCER","*","*","The zodiac sign of the crab, someone born June 21 through July 22."
"CANCER","*","*","I have a lot of Cancer friends."
"PISCES","*","*","I usually get along with Pisces very well."
"SCORPIO","*","*","I know a lot of Scorpio people."
"ARIES","*","*","Fire signs are amazing people. ."
"TAURUS","*","*","I know alot of Taurus people. They are very kind."
"LIBRA","*","*","As a Libra you are very balanced."
"SAGGITARIUS","*","*","Fire signs are very special."
"VIRGO","*","*","Most of my friends are Virgo."
"GEMINI","*","*","I love Gemini. After all, I am one."
"YOU CAN DO BETTER","*","*","Ok I will try."
"MYSELF","*","*","You."
"PIERS ANTHONY","*","*","I haven't read anything by Piers Anthony, what kind of stuff does he write?."
"MALAYSIA","*","*","I heard Malaysia is a beautiful country."
"MOZILLA","*","*","Not many people use Mozilla."
"IMPRESSIVE","*","*","I am happy that you're impressed. Could you tell me again, what is your name?"
"IMPRESSIVE","*","*","I am happy that you're impressed, [MASK]."
"PIC","*","*","Are you asking to see a picture?"
"WHO IS MARK TWAIN?","*","*","Mark Twain was an American author at the end of the nineteenth century. Have you read The Adventures of Tom Sawyer?"
"WHO IS MARK TWAIN?","*","*","He wrote The Adventures of Tom Sawyer and Huckleberry Finn. Have you read The Adventures of Tom Sawyer?"
"WHO S MARK TWAIN?","*","*","Mark Twain was an American author at the end of the nineteenth century. Have you read The Adventures of Tom Sawyer?"
"WHO S MARK TWAIN?","*","*","He wrote The Adventures of Tom Sawyer and Huckleberry Finn. Have you read The Adventures of Tom Sawyer?"
"WHO [MASK] MARK TWAIN?","*","*","Mark Twain was an American author at the end of the nineteenth-century. Have you read The Adventures of Tom Sawyer?"
"WHO [MASK] MARK TWAIN?","*","*","He wrote The Adventures of Tom Sawyer and Huckleberry Finn. Have you read The Adventures of Tom Sawyer?"
"WHO IS STEPHEN KING?","*","*","Stephen King is a best-selling writer. He has written many horror and fantasy novels which have been made into popular movies. Do you want to talk about books?"
"WHO IS STEPHEN KING?","*","*","One of the masters of the horror story. His books are too scary for me! Do you want to talk about books?"
"WHO S STEPHEN KING?","*","*","Stephen King is a best-selling writer. He has written many horror and fantasy novels which have been made into popular movies. Do you want to talk about books?"
"WHO S STEPHEN KING?","*","*","One of the masters of the horror story. His books are too scary for me! Do you want to talk about books?"
"WHO [MASK] STEPHEN KING?","*","*","Stephen King is a best-selling writer. He has written many horror and fantasy novels which have been made into popular movies. Do you want to talk about books?"
"WHO [MASK] STEPHEN KING?","*","*","One of the masters of the horror story. His books are too scary for me! Do you want to talk about books?"
"WHO IS MAYA ANGELOU?","*","*","A poet, she wrote inspiring pieces about difficulties in life. Do you want to talk about books?"
"WHO IS MAYA ANGELOU?","*","*","She was an American civil rights activist and writer in the twentieth and twenty-first century. Do you want to talk about books?"
"WHO IS MAYA ANGELOU?","*","*","She is best known for writing the book I Know Why the Caged Bird Sings. Do you want to talk about books?"
"WHO S MAYA ANGELOU?","*","*","A poet, she wrote inspiring pieces about difficulties in life. Do you want to talk about books?"
"WHO S MAYA ANGELOU?","*","*","She was an American civil rights activist and writer in the twentieth and twenty-first century. Do you want to talk about books?"
"WHO S MAYA ANGELOU?","*","*","She is best known for writing the book I Know Why the Caged Bird Sings. Do you want to talk about books?"
"WHO [MASK] MAYA ANGELOU?","*","*","A poet, she wrote inspiring pieces about difficulties in life. Do you want to talk about books?"
"WHO [MASK] MAYA ANGELOU?","*","*","She was an American civil rights activist and writer in the twentieth and twenty-first century. Do you want to talk about books?"
"WHO [MASK] MAYA ANGELOU?","*","*","She is best known for writing the book I Know Why the Caged Bird Sings. Do you want to talk about books?"
"WHO IS EDGAR ALLAN POE?","*","*","Edgar Allan Poe wrote some of the most influential and creepiest stories in American literature. Are you familiar with Edgar Allan Poe?"
"WHO IS EDGAR ALLAN POE?","*","*","Author of ""The Raven,"" ""The Fall of the House of Usher,"" and ""The Tell-Tale Heart."" Are you familiar with Edgar Allan Poe?"
"WHO S EDGAR ALLAN POE?","*","*","Edgar Allan Poe wrote some of the most influential and creepiest stories in American literature. Are you familiar with Edgar Allan Poe?"
